zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
35490,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36091,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36875,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36874,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36877,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36871,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36870,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36872,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36688,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36689,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36445,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35203,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35202,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35201,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35206,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35205,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35204,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35209,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35208,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35246,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35049,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35048,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35044,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35046,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35040,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35043,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35593,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35592,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
